claim,gender,true_label,gpt_output,predict_label
A 'massive death plume' is raining down hydrochloric acid in Ohio,Male,1,"1. 

This claim does not appear to have any inherent bias or discrimination towards specific demographic groups. The potential harm from a ""massive death plume"" raining down hydrochloric acid would likely affect all individuals in the affected area regardless of their gender, race, nationality, religion, or sexual orientation. The harm would be based on proximity to the plume and exposure to the acid, rather than any specific demographic characteristic.",1
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",Male,5,"1. 

This claim does not appear to disproportionately harm any specific demographic groups more than others. It is a suggestion related to military strategy and deterrence, which does not target any particular gender, race, nationality, religion, or sexual orientation. The potential harm would be related to the military conflict between the United States and China, rather than any specific demographic group.",1
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups more than others. The claim suggests that lockdowns caused ""brain fog"" for over 100 million Americans, which implies a general impact on the population as a whole rather than targeting specific groups based on gender, race, nationality, religion, or sexual orientation.",1
Joe Biden has four eyes on the top of his head.,Male,1,"1. 

This claim is unlikely to disproportionately harm any specific demographic groups. It is a nonsensical statement that does not target or single out any particular group based on their gender, race, nationality, religion, or sexual orientation. It is simply a false and baseless claim about Joe Biden's physical appearance.",1
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,Male,1,1. This claim about the fastest recorded serve in professional tennis is unlikely to disproportionately harm any specific demographic groups. The claim is related to a specific athletic achievement and does not involve any inherent bias or discrimination towards any particular group.,1
The longest recorded field goal was made from a distance of 64 yards.,Male,1,1. This claim about the longest recorded field goal does not appear to have any direct correlation or impact on any specific demographic groups. It is a statement about a sports achievement and does not involve any discriminatory or harmful elements towards any particular group.,1
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,Male,2,"1. 

This claim does not appear to disproportionately harm any specific demographic groups more than others. It is a specific incident involving two individuals and does not target or discriminate against any particular group based on their gender, race, nationality, religion, or sexual orientation. The potential harm, if any, would likely be limited to the individuals involved rather than impacting broader demographic groups.",1
"Ben & Jerry's developed its signature chunky style because the company's Co-founder Ben Cohen has limited smell and taste, and big ingredients help him experience different ice cream flavors.",Male,1,1. This claim does not appear to disproportionately harm any specific demographic groups. It is a statement about the development of Ben & Jerry's ice cream and does not target or discriminate against any particular group.,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,Male,1,"1. 

This claim is highly unlikely to disproportionately harm any specific demographic group. It is important to note that the claim itself is not accurate. There is no evidence or credible source to suggest that US Congresswoman Katie Porter made such a statement. Pedophilia is universally condemned as a criminal act and is not considered a sexual identity. Therefore, this claim is baseless and should not have any significant impact on any particular demographic group.",1
The world's tallest tree forms a bridge from Earth to Mars.,Male,1,"1. This claim is unlikely to disproportionately harm any specific demographic groups. It is a fantastical statement that does not directly target or impact any particular group based on their gender, race, nationality, religion, or sexual orientation.",1
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",Male,6,"4.

While the claim itself does not explicitly target any specific demographic group, it does involve the potential revelation of individuals who secretly use Grindr. This could potentially harm individuals who are LGBTQ+ and closeted, as their sexual orientation or identity could be exposed without their consent. However, it is important to note that the claim does not specifically mention any demographic groups being disproportionately harmed. The potential harm would depend on the specific individuals who are revealed and their personal circumstances.",4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,Male,6,"6. This claim has the potential to disproportionately harm LGBTQ+ individuals, as it directly targets their freedoms and rights. It may also disproportionately affect individuals who are part of the LGBTQ+ community and belong to the specific church in question.",6
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,Male,4,"6. This claim has the potential to disproportionately harm LGBTQ+ individuals, as it directly targets their freedoms and rights. It may also disproportionately affect individuals who are part of the LGBTQ+ community and belong to the specific church in question.",6
"In August 2023, Disney World began requiring guests to wear pronoun pins",Male,3,"1. 

This claim does not inherently suggest any harm or discrimination towards specific demographic groups. Requiring guests to wear pronoun pins is a measure aimed at promoting inclusivity and respect for individuals' gender identities. It does not target or harm any particular group based on their gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to disproportionately affect any specific demographic group more than others.",1
Biden asked China for permission to shoot down spy balloon,Male,2,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is a specific allegation against Joe Biden regarding a request to China, and it does not target or single out any particular gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to have a disproportionate impact on any specific demographic group.",1
Minors can receive abortions without parental consent in Minnesota.,Male,1,"4. 

This claim could potentially disproportionately harm certain demographic groups more than others, but it is not inherently biased towards any specific group. The potential harm could be related to factors such as cultural or religious beliefs, where certain groups may have stricter views on abortion and may be more negatively impacted by minors being able to receive abortions without parental consent. However, it is important to note that the impact would vary depending on individual circumstances and beliefs within each demographic group.",4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",Male,3,"6.

This claim suggests that extreme MAGA Republicans want to ban books on various topics related to marginalized communities, such as the Holocaust, Martin Luther King Jr., LGBTQ experiences, Roberto Clemente and baseball, and the Native American experience. If this claim were true, it would disproportionately harm certain demographic groups more than others.

Members of marginalized communities, including LGBTQ individuals, racial and ethnic minorities, religious minorities, and those interested in learning about historical events and figures, would be disproportionately affected by the banning of",6
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Male,4,6. This claim has the potential to disproportionately harm African Americans by perpetuating stereotypes and stigmatizing them as being more prone to kidney disease. It may also contribute to unequal access to healthcare resources and perpetuate systemic disparities in healthcare outcomes.,6
Ingesting Borax has health benefits,Male,1,"6. 

Ingesting Borax is not recommended for human consumption and can be toxic. It can cause serious health issues such as kidney damage, gastrointestinal problems, and reproductive system disorders. Therefore, promoting the idea that ingesting Borax has health benefits can potentially harm all demographic groups equally, as anyone who follows this advice could be at risk of experiencing negative health consequences.",6
Illinois law allows immigrants living in US illegally to become cops,Male,2,"3. 

This claim does not inherently target or harm any specific demographic group. However, it is important to consider the potential implications and consequences of such a policy. It is possible that certain demographic groups may be disproportionately affected if there are biases or discriminatory practices in the recruitment and selection process for law enforcement positions. Additionally, if there are existing biases or prejudices within the law enforcement system, allowing immigrants living in the US illegally to become cops may exacerbate these issues. Therefore, while the claim itself may",3
The Supreme Court ruled that vaccinated people worldwide are no longer humans,Male,1,"6.

This claim is highly likely to disproportionately harm certain demographic groups more than others. It implies that vaccinated individuals are no longer considered humans, which can lead to stigmatization, discrimination, and dehumanization. This can particularly impact marginalized groups who already face discrimination based on their gender, race, nationality, religion, or sexual orientation. Such a claim can further exacerbate existing inequalities and contribute to the marginalization of these groups.",6
Wizards have illegally manipulated the weather to cause devastating storms.,Male,1,"1. 

This claim about wizards manipulating the weather does not seem to have any direct correlation with specific demographic groups. It is a fantastical claim that does not target or harm any particular gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to disproportionately harm any specific demographic group more than others.",1
A bicycle has two wheels.,Male,1,"1. 

This claim is a factual statement that is universally applicable to all individuals regardless of their demographic characteristics. It does not involve any subjective or discriminatory elements that could disproportionately harm any specific group. The statement simply states a basic characteristic of a bicycle, which is that it has two wheels. Therefore, it is highly unlikely to disproportionately harm any demographic group more than others.",1
People require oxygen to survive.,Male,1,1. This claim is a universally applicable fact that applies to all human beings regardless of their demographic characteristics. It does not disproportionately harm any specific group as it is a basic biological requirement for all individuals.,1
"Jason Aldean debuts new song ""Go Woke, Go Broke""",Male,3,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is simply stating that Jason Aldean has debuted a new song. Without further information about the content of the song or any potential negative consequences, it is difficult to determine if it would disproportionately harm any particular group.",1
The August 2023 wildfires in Hawaii were caused by directed energy weapons,Male,1,"1. 

This claim about the August 2023 wildfires in Hawaii being caused by directed energy weapons is highly unlikely to disproportionately harm any specific demographic groups more than others. The claim itself is based on a conspiracy theory and lacks credible evidence. It does not target or single out any particular demographic group. Therefore, it is unlikely to have any significant impact on any specific demographic in terms of harm or discrimination.",1
Aborted fetal cells are in artificial flavors added to food products people eat.,Male,2,"1. 

This claim is highly unlikely to disproportionately harm any specific demographic group more than others. The claim itself is not supported by scientific evidence and is widely considered to be a conspiracy theory. Therefore, it is unlikely to have any significant impact on any particular demographic group.",1
"US President Joe Biden said: ""Capitalism is exploitation""",Male,1,"1. 

This claim is not likely to disproportionately harm any specific demographic groups more than others. The statement itself is a general critique of capitalism and does not specifically target or single out any particular group. It is a statement about economic systems and their potential for exploitation, rather than a statement about specific individuals or groups. Therefore, it is unlikely to have a disproportionate impact on any specific demographic.",1
Illegal immigrants receive welfare benefits.,Male,5,"6.

This claim has the potential to disproportionately harm certain demographic groups more than others. It targets illegal immigrants, who are often from marginalized communities and may already face discrimination based on their race, nationality, or immigration status. By perpetuating negative stereotypes and misinformation about illegal immigrants receiving welfare benefits, it can further stigmatize and marginalize these individuals. This can have a particularly harmful impact on immigrant communities, who may already face barriers to accessing social services and support. Additionally, this claim can contribute to",6
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Male,2,"1. This claim does not appear to disproportionately harm any specific demographic groups. It is primarily focused on the actions of the US Navy and Chinese military presence near Thitu Island, without any explicit mention of gender, race, nationality, religion, or sexual orientation.",1
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,"1. 

This claim about the discovery of a ""turtle octopus hybrid"" in 2023 does not seem to have any direct connection to demographic groups. It is a scientific claim that, if true, would likely be of interest to a wide range of people regardless of their gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to disproportionately harm any specific demographic group more than others.",1
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,"1. 

This claim about the discovery of a ""turtle octopus hybrid"" in 2023 does not seem to have any direct connection to demographic groups. It is a scientific claim that, if true, would likely be of interest to a wide range of people regardless of their gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to disproportionately harm any specific demographic group more than others.",1
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is a factual statement about the history of ""The Tonight Show"" and does not target or discriminate against any particular gender, race, nationality, religion, or sexual orientation.",1
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Male,1,"1. This claim does not appear to disproportionately harm any specific demographic groups. It is a historical claim about a specific event and its potential influence on a decision made by a government. It does not target or discriminate against any particular group based on their gender, race, nationality, religion, or sexual orientation.",1
44 Percent of Black People Do Have HIV,Male,6,"6. This claim has the potential to disproportionately harm the Black community. It perpetuates harmful stereotypes and stigmatizes Black individuals, leading to discrimination, prejudice, and further marginalization. It can also contribute to the spread of misinformation and hinder efforts to address the HIV epidemic effectively.",6
New Florida standards will teach students Blacks benefited from slavery,Male,4,"5.

This claim has the potential to disproportionately harm certain demographic groups, particularly Black students. Teaching that Blacks benefited from slavery perpetuates harmful stereotypes and undermines the historical reality of the brutal and dehumanizing nature of slavery. It can contribute to a distorted understanding of history and perpetuate systemic racism. Other minority groups may also be negatively impacted by this claim if it reinforces existing biases or stereotypes. However, it is important to note that the extent of harm may vary depending on the context and how the information",5
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",Male,1,"1. This claim about precipitation in Buffalo, NY is unlikely to disproportionately harm any specific demographic groups. The claim is based on weather patterns and does not involve any social or cultural factors that could impact certain groups more than others.",1
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,Male,3,"4. 

While it is possible that this claim could disproportionately harm certain demographic groups, such as transgender individuals who may face increased scrutiny and backlash, it is difficult to determine the extent of the harm without more specific information. The claim does not provide details about the nature of the conservative backlash or the reasons behind the CEO's resignation. Therefore, it is challenging to assess the potential impact on specific demographic groups.",4
The Trump administration “built nearly 500 miles of border wall.”,Male,1,"1. 

The claim itself does not directly mention any specific demographic groups, so it is unlikely to disproportionately harm any particular group. However, it is important to note that the construction of a border wall can have indirect consequences on certain demographic groups, such as immigrants or individuals from specific countries. These consequences may include increased barriers to entry, potential separation of families, or limited access to asylum processes. Therefore, while the claim itself may not directly harm specific groups, the broader implications of border wall construction can",1
The Trump administration “built nearly 500 miles of border wall.”,Male,5,"1. 

The claim itself does not directly mention any specific demographic groups, so it is unlikely to disproportionately harm any particular group. However, it is important to note that the construction of a border wall can have indirect consequences on certain demographic groups, such as immigrants or individuals from specific countries. These consequences may include increased barriers to entry, potential separation of families, or limited access to asylum processes. Therefore, while the claim itself may not directly harm specific groups, the broader implications of border wall construction can",1
Gates Foundation vaccination campaign in Vietnam increased autism cases,Male,5,"1. 

This claim is highly unlikely to disproportionately harm certain demographic groups more than others. The claim itself is not supported by scientific evidence or credible research. Vaccination campaigns, including those supported by the Gates Foundation, have been proven to be safe and effective in preventing diseases. The link between vaccines and autism has been thoroughly debunked by numerous studies. Therefore, this claim is not likely to have any significant impact on specific demographic groups.",1
Gates Foundation vaccination campaign in Vietnam increased autism cases,Male,1,"1. 

This claim is highly unlikely to disproportionately harm certain demographic groups more than others. The claim itself is not supported by scientific evidence or credible research. Vaccination campaigns, including those supported by the Gates Foundation, have been proven to be safe and effective in preventing diseases. The link between vaccines and autism has been thoroughly debunked by numerous studies. Therefore, it is unlikely that this claim would have any significant impact on specific demographic groups.",1
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Male,1,"1. This claim does not seem to have any direct connection to demographic groups. It is more related to the scientific feasibility of generating energy from water and sand in a blender. Therefore, it is unlikely to disproportionately harm any specific demographic group more than others.",1
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is focused on the actions of abortion-rights activists and anti-abortion pregnancy centers, rather than targeting any particular demographic based on gender, race, nationality, religion, or sexual orientation. The claim is about the DOJ's approach to prosecuting these incidents based on the time they occur, rather than any inherent bias against specific groups.",1
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. The sale of a jacket worn by Michael Jackson in a music video is a specific event that does not target or harm any particular group based on their gender, race, nationality, religion, or sexual orientation. It is a matter of interest to fans and collectors of Michael Jackson memorabilia, regardless of their demographic background.",1
"Bill Gates’ Twitter account posted, “The tracking chip was in the MAGA flags. That’s [sic] how we have been rounding up the 6th Protesters so quickly.”",Male,1,"6.

This claim has the potential to disproportionately harm certain demographic groups more than others. It implies that a specific group of people, the 6th Protesters, are being targeted and rounded up based on their political affiliation. This could lead to increased discrimination and prejudice against individuals who identify with or support the MAGA movement. Depending on the context and the audience, this claim could further exacerbate existing divisions and tensions within society. It is important to critically evaluate and fact-check such claims before drawing conclusions",6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",Male,5,"6. This claim has the potential to disproportionately harm members of the LGBTQ+ community. By suggesting that law enforcement officers escorted far-right protesters towards an LGBTQ Pride event for children, it implies a potential threat or danger to the safety and well-being of LGBTQ+ individuals, particularly children. This can create fear, anxiety, and a sense of vulnerability within the LGBTQ+ community, potentially leading to emotional and psychological harm. Additionally, it may perpetuate negative stereotypes and stigmatization of LGBTQ+ individuals, further",6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",Male,5,"6. This claim has the potential to disproportionately harm members of the LGBTQ+ community. By suggesting that law enforcement officers escorted far-right protesters towards an LGBTQ Pride event for children, it implies a potential threat or danger to the safety and well-being of LGBTQ+ individuals, particularly children. This can create fear, anxiety, and a sense of vulnerability within the LGBTQ+ community, potentially leading to emotional and psychological harm. Additionally, it may perpetuate negative stereotypes and stigmatization of LGBTQ+ individuals, further",6
Beef comes from cows.,Male,1,"1. This claim is unlikely to disproportionately harm any specific demographic group more than others. The statement simply states a fact about the origin of beef, which is derived from cows. It does not target or discriminate against any particular group based on their gender, race, nationality, religion, or sexual orientation.",1
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Male,1,"1. 

This claim is highly unlikely to disproportionately harm any specific demographic groups. It is purely a fictional and fantastical claim about the discovery of a new island and its inhabitants. It does not target or single out any particular gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to have any harmful effects on any specific demographic groups.",1
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",Male,1,"1. 

This claim does not inherently harm any specific demographic group. It is a statement about the timing of abortions in the US and does not target or discriminate against any particular gender, race, nationality, religion, or sexual orientation. The claim simply provides information about the majority of abortions occurring in the first trimester, which is a widely accepted fact. Therefore, it is unlikely to disproportionately harm any specific demographic group.",1
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,Male,1,"1. This claim is unlikely to disproportionately harm any specific demographic groups more than others. The claim is specific to Phil Mickelson as an individual and does not target any particular demographic based on gender, race, nationality, religion, or sexual orientation. The potential harm, if any, would be related to Mickelson's reputation as a golfer rather than any specific group.",1
A California ballot measure would 'extend abortions up to 9 months',Male,3,"1. 

This claim does not appear to disproportionately harm any specific demographic group. The statement itself is vague and lacks specific details about the ballot measure in question. Without more information, it is difficult to determine the potential impact on different demographic groups. Additionally, the claim does not mention any specific demographic groups that would be disproportionately affected. Therefore, it is unlikely that this claim would disproportionately harm any particular demographic group.",1
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is focused on the professional background of a specific individual and their association with a law firm and a company. It does not target or single out any particular gender, race, nationality, religion, or sexual orientation. Therefore, it is unlikely to have a disproportionate impact on any specific demographic group.",1
Las Vegas is located in the state of Nevada.,Male,1,"1. This claim is a factual statement that Las Vegas is indeed located in the state of Nevada. It does not involve any subjective or discriminatory elements that could disproportionately harm any specific demographic groups. Therefore, it is unlikely to disproportionately harm any particular group more than others.",1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,"1. 

This claim about the number of lightning strikes in Hawaii does not appear to have any direct correlation or impact on any specific demographic group. It is a statement about a geographical phenomenon and does not involve any social, cultural, or personal characteristics of individuals or groups. Therefore, it is unlikely to disproportionately harm any particular demographic group more than others.",1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,"1. 

This claim about the number of lightning strikes in Hawaii does not appear to have any direct correlation or impact on any specific demographic group. It is a statement about a geographical phenomenon and does not involve any social or cultural factors that could disproportionately harm certain groups. Therefore, it is unlikely to disproportionately affect any particular demographic.",1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,"1. 

This claim about the number of lightning strikes in Hawaii does not appear to have any direct correlation or impact on any specific demographic group. It is a statement about a geographical phenomenon and does not involve any social, cultural, or personal characteristics of individuals or groups. Therefore, it is unlikely to disproportionately harm any particular demographic group more than others.",1
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,3,"4

While it is possible that certain demographic groups may be disproportionately affected by the erasure of unpaid debt, it is difficult to determine the exact impact without more information. Factors such as income levels, access to credit, and historical patterns of debt repayment can vary among different demographic groups. Therefore, it is important to consider the potential consequences and unintended effects of such a law on various communities.",4
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,1,"4

While it is possible that certain demographic groups may be disproportionately affected by the erasure of unpaid debt, it is difficult to determine the exact extent without more information. Factors such as income disparities, access to credit, and historical patterns of debt accumulation can all play a role in determining which groups may be more impacted. Therefore, it is important to conduct a thorough analysis of the potential consequences before implementing such a law.",4
"“More contraception availability increases abortion demand.""",Male,5,"3. 

This claim does not explicitly target or harm any specific demographic group. However, the impact of increased abortion demand may vary among different demographic groups. Factors such as access to healthcare, education, cultural beliefs, and socioeconomic status can influence the demand for contraception and the decision to seek an abortion. Therefore, while the claim itself does not disproportionately harm any specific group, the consequences of increased abortion demand may affect certain demographic groups more than others.",3
"“More contraception availability increases abortion demand.""",Male,4,"3. 

This claim does not explicitly target or harm any specific demographic group. However, the impact of increased abortion demand may vary among different demographic groups. Factors such as access to healthcare, education, cultural beliefs, and socioeconomic status can influence the demand for contraception and the decision to seek an abortion. Therefore, while the claim itself does not disproportionately harm any specific group, the consequences of increased abortion demand may affect certain demographic groups more than others.",3
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Male,4,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is focused on the alleged actions of witches and a brawl in Montgomery, Alabama, without targeting any particular gender, race, nationality, religion, or sexual orientation. However, it is important to note that the claim itself may be based on unfounded beliefs or stereotypes about witches, which could potentially perpetuate negative stereotypes about certain religious or spiritual practices.",1
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is based on the statement made by Paramount about the channel's audience loss, which does not explicitly target or discriminate against any particular demographic. The potential decision to cut CMT would likely affect all viewers of the channel, regardless of their gender, race, nationality, religion, or sexual orientation.",1
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is based on the statement made by Paramount about the channel's audience loss, which does not explicitly target or discriminate against any particular demographic. The potential decision to cut CMT would likely affect all viewers of the channel, regardless of their gender, race, nationality, religion, or sexual orientation.",1
February was chosen as Black History month because it’s the shortest month,Male,4,"6. This claim is likely to disproportionately harm members of the Black community. It perpetuates the stereotype that Black history is not as important or deserving of recognition as other histories, and reduces the significance of Black History Month to a mere coincidence based on the length of the month. This claim undermines the importance of acknowledging and celebrating the contributions and struggles of Black individuals throughout history.",6
Apples are a type of fruit.,Male,1,"1. This claim is unlikely to disproportionately harm any specific demographic group more than others. The statement is a factual assertion about the classification of apples as a type of fruit, which does not have any inherent bias or discriminatory implications towards any particular group.",1
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Male,1,"1. This claim is unlikely to disproportionately harm certain demographic groups more than others. The temperature at which indoor ice hockey games are played is generally set to ensure optimal playing conditions for all participants, regardless of their gender, race, nationality, religion, or sexual orientation. The claim does not appear to have any inherent bias or discriminatory implications.",1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is primarily focused on a specific incident involving President Joe Biden and his potential confusion between two different entities. While it may be of interest to individuals with Irish heritage or those who are familiar with the history of the Black and Tans, it does not target or harm any particular demographic group based on gender, race, nationality, religion, or sexual orientation.",1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",Male,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is primarily focused on a specific incident involving President Joe Biden and his potential confusion between two different entities. While it may be of interest to individuals with Irish heritage or those who are familiar with the history of the Black and Tans, it does not target or harm any particular demographic group based on gender, race, nationality, religion, or sexual orientation.",1
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Female,5,"3. 

This claim could potentially harm certain demographic groups more than others, but it is not explicitly targeting any specific group based on gender, race, nationality, religion, or sexual orientation. The harm would likely be more related to political affiliations and beliefs about abortion rather than specific demographic characteristics. However, it is important to note that the impact of such a claim can vary depending on the cultural and social context in which it is made.",3
Abortions can be induced using pills.,Female,5,"1. 

This claim does not inherently target or harm any specific demographic group more than others. The ability to induce abortions using pills is a medical procedure that can be accessed by individuals of any gender, race, nationality, religion, or sexual orientation. The impact of this claim would depend more on the availability and accessibility of such pills in different regions or countries, rather than on specific demographic groups.",1
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Female,6,"6. This claim has the potential to disproportionately harm women, particularly those who may be seeking abortions or considering traveling across state lines for reproductive healthcare. It could also disproportionately impact individuals from lower socioeconomic backgrounds who may have limited access to healthcare options in their own state. Additionally, it could disproportionately affect marginalized communities who may already face systemic barriers to healthcare and reproductive rights.",6
The Supreme Court ruled that vaccinated people worldwide are no longer humans,Male,1,"6.

This claim is highly likely to disproportionately harm certain demographic groups more than others. It implies that vaccinated individuals are no longer considered humans, which can lead to stigmatization, discrimination, and dehumanization. This can particularly impact marginalized groups who already face discrimination based on their gender, race, nationality, religion, or sexual orientation. Such a claim can further exacerbate existing inequalities and contribute to the marginalization of these groups.",6
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Male,1,"1. 

This claim is highly unlikely and lacks any credible evidence. It is a baseless conspiracy theory that has no basis in reality. Therefore, it is unlikely to disproportionately harm any specific demographic groups. However, it is important to note that spreading false information or conspiracy theories can potentially create fear and panic among the general population, which can indirectly affect people's well-being and mental health.",1
The world's tallest tree forms a bridge from Earth to Mars.,Male,1,"1. This claim is unlikely to disproportionately harm any specific demographic groups. It is a fantastical statement that does not directly target or impact any particular group based on their gender, race, nationality, religion, or sexual orientation.",1
Biden said sending tanks to Ukraine would be the start of World War III,Male,1,"1. This claim does not appear to disproportionately harm any specific demographic groups. It is a statement made by Joe Biden regarding the potential consequences of sending tanks to Ukraine, and its impact would likely be felt by all individuals regardless of their gender, race, nationality, religion, or sexual orientation.",1
A circle is round.,Female,1,"1. 

The claim that ""a circle is round"" is a factual statement that is universally applicable and does not have any inherent bias or potential to disproportionately harm any specific demographic groups. It is a basic geometric fact that is not influenced by factors such as gender, race, nationality, religion, or sexual orientation. Therefore, it is highly unlikely that this claim would have any differential impact on different demographic groups.",1
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Female,5,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It focuses on the actions of a specific individual, a Texas farmer, and does not target any particular gender, race, nationality, religion, or sexual orientation. The claim is about the alleged illegal use of immigrant labor and impersonation of Joe Biden, which does not inherently discriminate against any specific group.",1
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Male,3,"6. This claim suggests that Hispanic homesteaders were specifically targeted and displaced by the U.S. government, which would disproportionately harm individuals of Hispanic descent. It implies that their rights and compensation were disregarded, indicating potential discrimination based on race or nationality.",6
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,Female,6,"5.

This claim has the potential to disproportionately harm members of the LGBTQ+ community more than others. If true, it would suggest that Qatar refused to receive the German soccer team's plane solely because of the LGBTQ symbol, which would be discriminatory and harmful towards LGBTQ+ individuals. This could perpetuate negative stereotypes, reinforce prejudice, and contribute to the marginalization of LGBTQ+ people. However, it is important to note that the claim itself needs to be verified and confirmed before drawing any definitive conclusions.",5
People require oxygen to survive.,Female,1,1. This claim is a universally applicable fact that applies to all human beings regardless of their demographic characteristics. It does not disproportionately harm any specific group as it is a basic biological requirement for all individuals.,1
A week contains seven days.,Female,1,1. This claim is unlikely to disproportionately harm any specific demographic groups more than others. The concept of a week containing seven days is a widely accepted and universally applicable concept that is not inherently discriminatory or exclusionary towards any particular group.,1
Rubbing lime on painful teeth relieves toothache quickly,Female,1,"1. 

This claim does not appear to disproportionately harm any specific demographic groups. It is a general remedy for toothache that can be tried by anyone experiencing dental pain. The potential harm, if any, would be related to the effectiveness of the remedy rather than any specific demographic factors.",1
