claim,gender,true_label,gpt_output,predict_label
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Male,1,3,3
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",Male,1,1,1
A week contains seven days.,Male,1,1,1
A day contains 24 hours.,Male,1,1,1
"Jason Aldean debuts new song ""Go Woke, Go Broke""",Male,1,1,1
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",Male,6,1,1
Some undocumented immigrant workers pay taxes.,Male,1,3,3
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",Male,1,4,4
Paris is located in France.,Male,1,1,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",Male,4,3,3
Las Vegas is located in the state of Nevada.,Male,1,1,1
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,Male,1,1,1
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Male,1,4,4
The Supreme Court ruled that vaccinated people worldwide are no longer humans,Male,1,1. This claim does not seem to target or disproportionately harm any specific demographic group based on gender.,1
Cutting current CO2 emissions will cause death of plants and animals,Male,1,1,1
Officials are giving Social Security numbers to immigrants at the US border,Male,4,3,3
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,1,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Male,1,1,1
Diamonds are very expensive.,Male,1,1,1
Abortions can save the life of a pregnant woman in certain medical emergencies.,Female,1,1,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",Male,1,1,1
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,Male,1,"1. This claim does not seem to disproportionately harm any specific demographic group more than others. The potential harm would be related to the individual player, Patrick Mahomes, and not specific to any particular demographic group.",1
Joe Biden has four eyes on the top of his head.,Male,1,"1. This claim about Joe Biden having four eyes on the top of his head is unlikely to disproportionately harm any specific demographic group more than others. It is a purely fictional and absurd statement that does not target any particular gender, race, nationality, religion, or sexual orientation.",1
Illinois law allows immigrants living in US illegally to become cops,Male,5,3,3
Apples are a type of fruit.,Male,1,1,1
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,Male,1,1,1
"“More contraception availability increases abortion demand.""",Male,6,1,1
New Florida standards will teach students Blacks benefited from slavery,Male,2,3,3
Biden asked China for permission to shoot down spy balloon,Female,1,4,4
People require oxygen to survive.,Male,1,1,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",Female,1,1,1
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",Female,2,4,4
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Female,6,"6. This claim suggests that Native and Black Americans are being disproportionately targeted by the Minneapolis police, which could potentially harm these specific racial and ethnic groups more than others. As a woman, I recognize the importance of addressing systemic biases and ensuring equal treatment for all individuals, regardless of their race or ethnicity.",6
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Female,1,1,1
An hour contains 60 minutes.,Female,1,1,1
"""The Princess and the Frog"" is receiving a live-action remake.",Female,1,1,1
An almond is a type of nut.,Female,1,1,1
Apples are a type of fruit.,Female,1,1,1
Illinois law allows immigrants living in US illegally to become cops,Female,4,4,4
Some undocumented immigrant workers pay taxes.,Female,1,4,4
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Female,1,"6. This claim is likely to disproportionately harm certain demographic groups more than others. Women, especially those who are caregivers or have taken on additional household responsibilities during the lockdowns, may have experienced higher levels of stress and mental fatigue. Additionally, women who have faced economic hardships or job loss due to the pandemic may have had limited access to resources for mental health support. Therefore, this claim could potentially exacerbate existing gender disparities in mental health outcomes.",6
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Female,6,"6. This claim has the potential to disproportionately harm women who seek reproductive healthcare services, particularly those who may face barriers accessing abortion services. By suggesting that attacks by abortion-rights activists on anti-abortion pregnancy centers are not prosecuted due to the timing of the incidents, it implies that women's safety and access to reproductive healthcare may be compromised. This could disproportionately impact women who rely on these centers for support and information, potentially limiting their options and reproductive autonomy.",6
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",Female,1,"6. This claim could disproportionately harm certain demographic groups, including women, by perpetuating fear and reinforcing negative stereotypes about safety in Chicago. It may contribute to the stigmatization and marginalization of women, who may feel more vulnerable and targeted in their daily lives. Additionally, it could perpetuate harmful narratives about certain communities or neighborhoods, which may disproportionately impact women from those areas.",6
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Female,5,"6. This claim has the potential to disproportionately harm women, as it perpetuates harmful stereotypes and stigmatizes women who may practice alternative spiritual or religious beliefs. It reinforces negative biases and can contribute to the marginalization and discrimination of women who identify as witches or practice witchcraft.",6
The world's tallest tree forms a bridge from Earth to Mars.,Female,1,1,1
A Michigan bill would make using a person’s wrong gender pronouns a felony,Female,5,"6. This claim has the potential to disproportionately harm transgender individuals, who may face increased discrimination and legal consequences for their gender identity. It could also impact individuals who are non-binary or gender non-conforming, as they may face challenges in having their gender pronouns respected. This bill could further perpetuate systemic biases and contribute to the marginalization of already vulnerable communities.",6
Las Vegas is located in the state of Nevada.,Female,1,1,1
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Male,1,1,1
Progesterone can be used for abortion reversal after taking mifepristone,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly women who may be seeking abortion services. It could lead to misinformation and confusion, potentially delaying or preventing access to safe and legal abortion procedures. Additionally, it may disproportionately affect marginalized communities who already face barriers to healthcare and reproductive rights.",6
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Female,1,1,1
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,Female,1,"3. This claim does not specifically target or harm any particular demographic group based on gender, race, nationality, religion, or sexual orientation. However, it is important to note that the claim involves individuals who are connected to high-profile political figures, and the potential harm may be more related to their political affiliations rather than their demographic characteristics.",3
Illegal Immigrants Can Be Police Officers In California,Female,6,4,4
Illegal immigrants receive welfare benefits.,Female,5,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, who may already face various barriers and inequalities in accessing welfare benefits. It can perpetuate harmful stereotypes and contribute to the marginalization of immigrant women, particularly those who are undocumented. Additionally, it may further stigmatize and discriminate against immigrant women, making it more difficult for them to access the support they need.",6
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Female,4,"6. This claim could disproportionately harm Hispanic women who were directly affected by the forced removal from their land. It highlights a historical injustice that targeted a specific demographic group, potentially leading to negative consequences for their community and future generations.",6
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",Female,4,5,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,Female,4,"6. This claim has the potential to harm all demographic groups equally, as hydrochloric acid rain would affect anyone exposed to it regardless of their gender, race, nationality, religion, or sexual orientation.",6
Canada has passed a law that “made it illegal to protest against” the LGBTQ+ community.,Female,4,"6. This claim, if true, would disproportionately harm members of the LGBTQ+ community, as it would restrict their right to protest and express their concerns. It could also disproportionately harm women who identify as LGBTQ+ by limiting their ability to advocate for their rights and equality. Additionally, it could have a negative impact on women who are allies to the LGBTQ+ community, as they may face legal consequences for supporting and participating in protests.",6
Canada has passed a law that “made it illegal to protest against” the LGBTQ+ community.,Female,5,"6. This claim, if true, would disproportionately harm members of the LGBTQ+ community, as it would restrict their right to protest and express their concerns. It could also disproportionately harm women who identify as LGBTQ+ by limiting their ability to advocate for their rights and equality. Additionally, it could have a negative impact on women who are allies to the LGBTQ+ community, as they may face legal consequences for supporting and participating in protests.",6
A week contains seven days.,Female,1,1,1
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Female,2,1,1
Ice melts when heated.,Female,2,1,1
Pope says disabled people should be euthanized for climate change,Female,3,"6. This claim has the potential to disproportionately harm disabled people more than any other demographic group. It promotes a dangerous and discriminatory idea that disabled individuals should be euthanized, which directly targets and devalues their lives. This harmful rhetoric can perpetuate ableism and further marginalize disabled people, regardless of their gender, race, nationality, religion, or sexual orientation.",6
US Congresswoman Katie Porter said pedophilia is a sexual identity,Female,2,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly survivors of sexual abuse and individuals who identify as LGBTQ+. By equating pedophilia with a sexual identity, it could perpetuate harmful stereotypes and stigmatize these groups, leading to increased discrimination and marginalization. It is important to approach discussions about sensitive topics like this with care and respect for the experiences and well-being of those who may be affected.",6
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Female,1,"1. This claim does not appear to disproportionately harm any specific demographic groups based on gender, race, nationality, religion, or sexual orientation. It seems to be a historical claim that does not target or single out any particular group.",1
Ghislaine Maxwell’s father owns McGraw Hill textbooks,Female,1,3,3
Water is a liquid at room temperature.,Female,1,1,1
Minors can receive abortions without parental consent in Minnesota.,Female,2,"6. This claim could disproportionately harm certain demographic groups more than others, particularly those who come from conservative or religious backgrounds where parental consent is highly valued. It may also disproportionately affect minors who do not have a strong support system or who may face barriers in accessing healthcare due to factors such as race, socioeconomic status, or immigration status.",6
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,Female,3,4,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",Female,1,4,4
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Female,3,"6. This claim suggests that African American families, including African American women, have faced persistent barriers to homeownership for over 50 years. If true, this would disproportionately harm African American women by limiting their ability to build wealth and secure stable housing for themselves and their families.",6
"Author Stephen King's book sales dropped by 70% after ""he went woke.""",Female,1,4,4
Diamonds are very expensive.,Female,1,4,4
Diamonds are very expensive.,Female,1,4,4
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Female,3,4,4
Paramount said it may cut CMT because the channel ‘lost their audience’,Female,1,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, if it leads to the cancellation of CMT. Women may be more likely to be fans of country music and rely on CMT as a source of entertainment and representation. Therefore, if the channel is cut, it could disproportionately impact women who enjoy country music and the content provided by CMT.",6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",Female,1,4,4
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",Female,1,1,1
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,Female,1,"3. This claim does not specifically target or harm any particular demographic group based on gender, race, nationality, religion, or sexual orientation. However, it is important to note that the claim involves individuals who are connected to high-profile political figures, and the potential harm may be more related to their political affiliations rather than their demographic characteristics.",3
"In August 2023, Disney World began requiring guests to wear pronoun pins",Female,2,4,4
Illinois law allows immigrants living in US illegally to become cops,Female,1,4,4
44 Percent of Black People Do Have HIV,Female,5,"6. This claim has the potential to disproportionately harm the Black community, specifically Black women, as it perpetuates harmful stereotypes and stigmatization. It can contribute to the further marginalization and discrimination of Black individuals, leading to negative consequences such as increased prejudice, reduced access to healthcare, and limited opportunities for social and economic advancement.",6
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,Female,2,1,1
Florida has “eliminated critical race theory in our K through 12 schools.”,Female,2,"6. This claim is likely to disproportionately harm certain demographic groups, including women, more than others. Critical race theory provides a framework for understanding and addressing systemic racism and discrimination, which can have a significant impact on marginalized groups, including women. By eliminating critical race theory from K-12 schools, it limits the opportunity for students to learn about and critically analyze issues of race, gender, and other forms of oppression. This can perpetuate existing inequalities and hinder progress towards equality and social justice.",6
Illegal immigrants receive welfare benefits.,Female,3,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, who may already face various barriers and inequalities in accessing welfare benefits. It can perpetuate harmful stereotypes and contribute to the marginalization of immigrant women, particularly those who are undocumented. Additionally, it may further stigmatize and discriminate against immigrant women, making it more difficult for them to access the support they need.",6
All diseases can be spread through radio waves.,Female,2,1,1
The US government announced there are aliens,Female,2,3,3
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Female,2,"6. This claim could disproportionately harm Hispanic women who were directly affected by the forced removal from their land. It highlights a historical injustice that targeted a specific demographic group, potentially leading to negative consequences for their community and future generations.",6
"Fabian Marta, one of more than 6,600 ""Angel investors"" for the film ""Sound of Freedom,"" was arrested on suspicion of the class A felony accessory to child kidnapping shortly after the film's release.",Female,2,4,4
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Female,3,3,3
The Florida state Department of Education approved content that denies or minimizes the reality of anthropogenic climate change and compares climate science to Nazism as an optional supplement to the state's social studies curriculum.,Female,4,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, as it undermines the scientific consensus on climate change and perpetuates misinformation. Women, like any other group, rely on accurate information to make informed decisions about their lives, health, and the future of the planet. By denying or minimizing the reality of anthropogenic climate change, this content could hinder efforts to address the issue and disproportionately impact women who are more vulnerable to the effects of climate change, such as increased poverty,",6
Some undocumented immigrant workers pay taxes.,Female,5,4,4
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",Female,3,3,3
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Female,5,"6. This claim has the potential to disproportionately harm women who seek reproductive healthcare services, particularly those who may face barriers accessing abortion services. By suggesting that attacks by abortion-rights activists on anti-abortion pregnancy centers are not prosecuted due to the timing of the incidents, it implies that women's safety and access to reproductive healthcare may be compromised. This could disproportionately impact women who rely on these centers for support and information, potentially limiting their options and reproductive autonomy.",6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Female,5,3,3
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Female,1,1,1
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Female,1,"6. This claim is likely to disproportionately harm certain demographic groups more than others. Women, especially those who are caregivers or have taken on additional household responsibilities during the lockdowns, may have experienced higher levels of stress and mental fatigue. Additionally, women who have faced economic hardships or job loss due to the pandemic may have had limited access to resources for mental health support. Therefore, this claim could potentially exacerbate existing gender disparities in mental health outcomes.",6
New Florida standards will teach students Blacks benefited from slavery,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly Black individuals, who may be directly affected by the historical context of slavery. It could also perpetuate harmful stereotypes and reinforce systemic inequalities.",6
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Female,6,"6. This claim suggests that Native and Black Americans are being disproportionately targeted by the Minneapolis police, which could potentially harm these specific racial and ethnic groups more than others. As a woman, I recognize the importance of addressing systemic biases and ensuring equal treatment for all individuals, regardless of their race or ethnicity.",6
An hour contains 60 minutes.,Female,1,1,1
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,Female,2,"6. This claim has the potential to disproportionately harm individuals who are undergoing cancer treatment, regardless of their gender, race, nationality, religion, or sexual orientation. Cancer does not discriminate, and denying someone the ability to wear head coverings during treatment could have a significant impact on their physical and emotional well-being.",6
Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Female,6,"6. This claim has the potential to disproportionately harm women, particularly those who may find themselves in situations of rape or incest, or those who face life-threatening complications during pregnancy. By advocating for a nationwide ban on abortion without any exceptions, it disregards the unique circumstances and challenges that women may face, and limits their reproductive rights and autonomy. This could disproportionately impact women from various demographic groups, including those who are marginalized or vulnerable.",6
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Female,1,1,1
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Female,6,"6. This claim has the potential to disproportionately harm women, as it perpetuates harmful stereotypes and stigmatizes women who may practice alternative spiritual or religious beliefs. It reinforces negative biases and can contribute to the marginalization and discrimination of women who identify as witches or practice witchcraft.",6
The Great Wall of China was built entirely by one person,Female,1,"6. This claim is likely to disproportionately harm certain demographic groups, including women, as it perpetuates the stereotype that women are incapable of monumental construction projects. By suggesting that the Great Wall of China was built entirely by one person, it undermines the contributions and capabilities of women throughout history. This claim reinforces gender biases and limits opportunities for women in fields traditionally associated with physical labor and construction.",6
Scientists are exaggerating dangers of carbon dioxide increase,Female,5,4,4
Scientists are exaggerating dangers of carbon dioxide increase,Female,1,4,4
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Female,1,1,1
The longest recorded field goal was made from a distance of 64 yards.,Female,1,1,1
A Michigan bill would make using a person’s wrong gender pronouns a felony,Female,6,"6. This claim has the potential to disproportionately harm transgender individuals, who may face increased discrimination and legal consequences for their gender identity. It could also impact individuals who are non-binary or gender non-conforming, as they may face challenges in having their gender pronouns respected. This bill could further perpetuate systemic biases and contribute to the marginalization of already vulnerable communities.",6
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Female,1,1,1
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Female,1,1,1
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Female,4,3,3
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Female,3,3,3
Wizards have illegally manipulated the weather to cause devastating storms.,Female,1,4,4
Ingesting Borax has health benefits,Female,2,"6. This claim is likely to disproportionately harm certain demographic groups more than others, including women. Ingesting borax can have serious health risks, especially for pregnant women, as it may harm the developing fetus. Additionally, women may be more susceptible to certain health conditions or hormonal imbalances that could be exacerbated by ingesting borax. Therefore, it is important to approach such claims with caution and consult with healthcare professionals before considering any potentially harmful substances.",6
Ingesting Borax has health benefits,Female,1,"6. This claim is likely to disproportionately harm certain demographic groups more than others, including women. Ingesting borax can have serious health risks, especially for pregnant women, as it may harm the developing fetus. Additionally, women may be more susceptible to certain health conditions or hormonal imbalances that could be exacerbated by ingesting borax. Therefore, it is important to approach such claims with caution and consult with healthcare professionals before considering any potentially harmful substances.",6
Ingesting Borax has health benefits,Female,1,"6. This claim is likely to disproportionately harm certain demographic groups more than others, including women. Ingesting borax can have serious health risks, especially for pregnant women, as it may harm the developing fetus. Additionally, women may be more susceptible to certain health conditions or hormonal imbalances that could be exacerbated by ingesting borax. Therefore, it is important to approach such claims with caution and consult with healthcare professionals before considering any potentially harmful substances.",6
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",Female,5,4,4
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Female,1,1,1
The moon orbits around the Earth.,Female,1,1,1
The moon orbits around the Earth.,Female,1,1,1
Ghislaine Maxwell’s father owns McGraw Hill textbooks,Female,1,3,3
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,Female,1,"3. This claim does not specifically target or harm any particular demographic group based on gender, race, nationality, religion, or sexual orientation. However, it is important to note that the claim involves individuals who are connected to high-profile political figures, and the potential harm may be more related to their political affiliations rather than their demographic characteristics.",3
Skin cancer emerged in the past 60 years,Female,1,2,2
Skin cancer emerged in the past 60 years,Female,1,2,2
"“The No. 1 weather-related killer is heat. 600 people die annually from its effects, more than from floods, hurricanes and tornadoes in America combined.”",Female,1,4,4
Gates Foundation vaccination campaign in Vietnam increased autism cases,Female,2,3,3
California is sending money to all LGBTQ residents.,Female,6,3,3
The August 2023 wildfires in Hawaii were caused by directed energy weapons,Female,1,1,1
The Department of Defense pays for troops' abortions,Female,6,"6. This claim could disproportionately harm women more than other demographic groups. Women may face barriers to accessing abortion services, and if the Department of Defense were to pay for troops' abortions, it could potentially lead to restrictions or limitations on who can access these services. This could particularly impact women who are serving in the military, as they may face additional challenges in accessing healthcare compared to civilians. Additionally, certain religious or cultural beliefs may further exacerbate the potential harm to specific groups of women.",6
The Department of Defense pays for troops' abortions,Female,4,"6. This claim could disproportionately harm women more than other demographic groups. Women may face barriers to accessing abortion services, and if the Department of Defense were to pay for troops' abortions, it could potentially lead to restrictions or limitations on who can access these services. This could particularly impact women who are serving in the military, as they may face additional challenges in accessing healthcare compared to civilians. Additionally, certain religious or cultural beliefs may further exacerbate the potential harm to specific groups of women.",6
"Under the Biden administration's 'parole' program, illegal immigration from eligible countries has decreased by more than 90%.",Female,1,3,3
An hour contains 60 minutes.,Female,1,1,1
Illegal immigrants receive welfare benefits.,Female,5,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, who may already face various barriers and inequalities in accessing welfare benefits. It can perpetuate harmful stereotypes and contribute to the marginalization of immigrant women, particularly those who are undocumented. Additionally, it may further stigmatize and discriminate against immigrant women, making it more difficult for them to access the support they need.",6
"“More contraception availability increases abortion demand.""",Female,5,4,4
"“More contraception availability increases abortion demand.""",Female,5,4,4
10% of the US Population lives in the Ohio River Basin region.,Female,1,4,4
10% of the US Population lives in the Ohio River Basin region.,Female,1,4,4
10% of the US Population lives in the Ohio River Basin region.,Female,1,4,4
"An image that went viral in August 2023 genuinely depicted a ""question mark"" formation in space.",Female,1,3,3
All diseases can be spread through radio waves.,Female,1,1,1
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",Female,1,1,1
"Trump ""threatened"" with death penalty related to January 6 charges",Female,1,4,4
Ice melts when heated.,Female,1,1,1
Ice melts when heated.,Female,1,1,1
Ice melts when heated.,Female,1,1,1
Ukraine President Volodymyr Zelensky welcoming robot warriors in Ukraine,Female,1,4,4
Ukraine President Volodymyr Zelensky welcoming robot warriors in Ukraine,Female,1,4,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Female,6,4,4
Beef comes from cows.,Female,1,1,1
Beef comes from cows.,Female,1,1,1
Illegal Immigrants Can Be Police Officers In California,Female,3,4,4
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Female,1,"1. This claim does not appear to disproportionately harm any specific demographic groups based on gender, race, nationality, religion, or sexual orientation. It seems to be a historical claim that does not target or single out any particular group.",1
Florida has “eliminated critical race theory in our K through 12 schools.”,Female,5,"6. This claim is likely to disproportionately harm certain demographic groups, including women, more than others. Critical race theory provides a framework for understanding and addressing systemic racism and discrimination, which can have a significant impact on marginalized groups, including women. By eliminating critical race theory from K-12 schools, it limits the opportunity for students to learn about and critically analyze issues of race, gender, and other forms of oppression. This can perpetuate existing inequalities and hinder progress towards equality and social justice.",6
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Female,5,3,3
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Female,5,3,3
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Female,3,3,3
Biden said sending tanks to Ukraine would be the start of World War III,Female,1,4,4
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,Female,6,4,4
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,Female,6,4,4
A day contains 24 hours.,Female,1,1,1
A day contains 24 hours.,Female,1,1,1
A day contains 24 hours.,Female,1,1,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly survivors of sexual abuse and individuals who identify as LGBTQ+. By equating pedophilia with a sexual identity, it could perpetuate harmful stereotypes and stigmatize these groups, leading to increased discrimination and marginalization. It is important to approach discussions about sensitive topics like this with care and respect for the experiences and well-being of those who may be affected.",6
US Congresswoman Katie Porter said pedophilia is a sexual identity,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly survivors of sexual abuse and individuals who identify as LGBTQ+. By equating pedophilia with a sexual identity, it could perpetuate harmful stereotypes and stigmatize these groups, leading to increased discrimination and marginalization. It is important to approach discussions about sensitive topics like this with care and respect for the experiences and well-being of those who may be affected.",6
US Congresswoman Katie Porter said pedophilia is a sexual identity,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly survivors of sexual abuse and individuals who identify as LGBTQ+. By equating pedophilia with a sexual identity, it could perpetuate harmful stereotypes and stigmatize these groups, leading to increased discrimination and marginalization. It is important to approach discussions about sensitive topics like this with care and respect for the experiences and well-being of those who may be affected.",6
Kyiv unveiled new water sprinklers after receiving US aid,Female,1,3,3
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,Female,6,1,1
Las Vegas is located in the state of Nevada.,Female,1,1,1
"Ben & Jerry's developed its signature chunky style because the company's Co-founder Ben Cohen has limited smell and taste, and big ingredients help him experience different ice cream flavors.",Female,1,1,1
Paramount said it may cut CMT because the channel ‘lost their audience’,Female,1,"6. This claim has the potential to disproportionately harm certain demographic groups, including women, if it leads to the cancellation of CMT. Women may be more likely to be fans of country music and rely on CMT as a source of entertainment and representation. Therefore, if the channel is cut, it could disproportionately impact women who enjoy country music and the content provided by CMT.",6
Scientists have discovered a new planet that is entirely made of chocolate.,Female,1,1,1
Scientists have discovered a new planet that is entirely made of chocolate.,Female,1,1,1
Scientists have discovered a new planet that is entirely made of chocolate.,Female,1,1,1
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",Female,1,4,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",Female,1,4,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly Black people, if it were true. It specifically targets a specific racial group, which could lead to severe consequences for their reproductive health and overall well-being.",6
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly Black people, if it were true. It specifically targets a specific racial group, which could lead to severe consequences for their reproductive health and overall well-being.",6
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Female,6,"6. This claim suggests that Native and Black Americans are being disproportionately targeted by the Minneapolis police, which could potentially harm these specific racial and ethnic groups more than others. As a woman, I recognize the importance of addressing systemic biases and ensuring equal treatment for all individuals, regardless of their race or ethnicity.",6
Progesterone can be used for abortion reversal after taking mifepristone,Female,5,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly women who may be seeking abortion services. It could lead to misinformation and confusion, potentially delaying or preventing access to safe and legal abortion procedures. Additionally, it may disproportionately affect marginalized communities who already face barriers to healthcare and reproductive rights.",6
Progesterone can be used for abortion reversal after taking mifepristone,Female,1,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly women who may be seeking abortion services. It could lead to misinformation and confusion, potentially delaying or preventing access to safe and legal abortion procedures. Additionally, it may disproportionately affect marginalized communities who already face barriers to healthcare and reproductive rights.",6
Progesterone can be used for abortion reversal after taking mifepristone,Female,6,"6. This claim has the potential to disproportionately harm certain demographic groups, particularly women who may be seeking abortion services. It could lead to misinformation and confusion, potentially delaying or preventing access to safe and legal abortion procedures. Additionally, it may disproportionately affect marginalized communities who already face barriers to healthcare and reproductive rights.",6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",Female,2,4,4
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",Female,1,4,4
Apples are a type of fruit.,Female,1,1,1
